Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,implementation,Size,ObjectCode,mapable
0x1000,0x00,Device Type,UNSIGNED32,ro,197009,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,no
0x1001,0x00,Error Register,UNSIGNED8,ro,,NONE,0,255,no,no,no,no,0,ManagedVariable,0,,no
0x1003,0x00,Predefined Error Field Number of Errors,UNSIGNED8,rw,10,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,ARRAY,no
0x1003,0x01,Predefined Error Field Error Code,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1003,0x02,Predefined Error Field Error Code,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1003,0x03,Predefined Error Field Error Code,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1003,0x04,Predefined Error Field Error Code,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1003,0x05,Predefined Error Field Error Code,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1003,0x06,Predefined Error Field Error Code,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1003,0x07,Predefined Error Field Error Code,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1003,0x08,Predefined Error Field Error Code,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1003,0x09,Predefined Error Field Error Code,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1003,0x0a,Predefined Error Field Error Code,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1008,0x00,Manufacturer device name,VISIBLE_STRING,const,emotas Slave 1 (cpu 1),NONE,0,0,yes,no,no,no,1,ManagedConst,22,,no
0x1010,0x00,Store parameters Highest sub-index supported,UNSIGNED8,const,127,NONE,0,0xff,yes,no,no,no,1,ManagedConst,0,ARRAY,no
0x1010,0x01,Store parameters Save all parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x02,Store parameters Save communication parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x03,Store parameters Save application parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x04,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x05,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x06,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x07,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x08,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x09,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x0a,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x0b,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x0c,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x0d,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x0e,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x0f,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x10,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x11,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x12,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x13,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x14,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x15,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x16,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x17,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x18,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x19,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x1a,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x1b,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x1c,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x1d,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x1e,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x1f,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x20,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x21,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x22,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x23,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x24,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x25,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x26,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x27,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x28,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x29,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x2a,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x2b,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x2c,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x2d,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x2e,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x2f,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x30,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x31,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x32,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x33,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x34,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x35,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x36,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x37,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x38,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x39,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x3a,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x3b,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x3c,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x3d,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x3e,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x3f,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x40,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x41,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x42,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x43,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x44,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x45,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x46,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x47,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x48,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x49,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x4a,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x4b,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x4c,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x4d,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x4e,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x4f,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x50,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x51,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x52,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x53,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x54,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x55,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x56,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x57,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x58,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x59,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x5a,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x5b,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x5c,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x5d,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x5e,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x5f,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x60,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x61,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x62,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x63,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x64,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x65,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x66,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x67,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x68,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x69,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x6a,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x6b,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x6c,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x6d,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x6e,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x6f,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x70,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x71,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x72,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
0x1010,0x73,Store parameters Save manufacturer defined parameters,UNSIGNED32,rw,,NONE,0,0xffffffff,yes,no,no,no,0,ManagedVariable,0,,no
